Fecha;Año;Mes;Residencia;Ambito;Promedio de Estancia Media;Total Pernoctaciones;Total Viajeros;Acumulado Año;Variación Año Anterior;Var. % Año Anterior;Variación Periodo Anterior;Var. % Periodo Anterior
08/01/2018 0:00;2018;enero;Fuera de España;Huelva;;;;5713;;;-3284;-100,00%
08/01/2018 0:00;2018;enero;Fuera de España;Cádiz CAP;;;;4924;;;-3854;-100,00%
08/01/2018 0:00;2018;enero;Fuera de España;Almería CAP;;;;3727;;;-4134;-100,00%
08/01/2018 0:00;2018;enero;Fuera de España;Almería REST;;;;6350;;;-6790;-100,00%
09/01/2018 0:00;2018;enero;Fuera de España;Córdoba REST;;;;1025;;;-1311;-100,00%
09/01/2018 0:00;2018;enero;Fuera de España;Jaén;;;;3272;;;-3152;-100,00%
09/01/2018 0:00;2018;enero;Fuera de España;Huelva;;;;5713;;;-3284;-100,00%
09/01/2018 0:00;2018;enero;Fuera de España;Cádiz CAP;;;;4924;;;-3854;-100,00%
09/01/2018 0:00;2018;enero;Fuera de España;Almería CAP;;;;3727;;;-4134;-100,00%
09/01/2018 0:00;2018;enero;Fuera de España;Almería REST;;;;6350;;;-6790;-100,00%
10/01/2018 0:00;2018;enero;Fuera de España;Córdoba REST;;;;1025;;;-1311;-100,00%
10/01/2018 0:00;2018;enero;Fuera de España;Jaén;;;;3272;;;-3152;-100,00%
10/01/2018 0:00;2018;enero;Fuera de España;Huelva;;;;5713;;;-3284;-100,00%
10/01/2018 0:00;2018;enero;Fuera de España;Cádiz CAP;;;;4924;;;-3854;-100,00%
10/01/2018 0:00;2018;enero;Fuera de España;Almería CAP;;;;3727;;;-4134;-100,00%
10/01/2018 0:00;2018;enero;Fuera de España;Almería REST;;;;6350;;;-6790;-100,00%
11/01/2018 0:00;2018;enero;Fuera de España;Córdoba REST;;;;1025;;;-1311;-100,00%
11/01/2018 0:00;2018;enero;Fuera de España;Jaén;;;;3272;;;-3152;-100,00%
11/01/2018 0:00;2018;enero;Fuera de España;Huelva;;;;5713;;;-3284;-100,00%
11/01/2018 0:00;2018;enero;Fuera de España;Cádiz CAP;;;;4924;;;-3854;-100,00%
11/01/2018 0:00;2018;enero;Fuera de España;Almería CAP;;;;3727;;;-4134;-100,00%
11/01/2018 0:00;2018;enero;Fuera de España;Almería REST;;;;6350;;;-6790;-100,00%
12/01/2018 0:00;2018;enero;Fuera de España;Córdoba REST;;;;1025;;;-1311;-100,00%
12/01/2018 0:00;2018;enero;Fuera de España;Jaén;;;;3272;;;-3152;-100,00%
12/01/2018 0:00;2018;enero;Fuera de España;Huelva;;;;5713;;;-3284;-100,00%
12/01/2018 0:00;2018;enero;Fuera de España;Cádiz CAP;;;;4924;;;-3854;-100,00%
12/01/2018 0:00;2018;enero;Fuera de España;Almería CAP;;;;3727;;;-4134;-100,00%
12/01/2018 0:00;2018;enero;Fuera de España;Almería REST;;;;6350;;;-6790;-100,00%
13/01/2018 0:00;2018;enero;Fuera de España;Córdoba REST;;;;1025;;;-1311;-100,00%
13/01/2018 0:00;2018;enero;Fuera de España;Jaén;;;;3272;;;-3152;-100,00%
13/01/2018 0:00;2018;enero;Fuera de España;Huelva;;;;5713;;;-3284;-100,00%
13/01/2018 0:00;2018;enero;Fuera de España;Cádiz CAP;;;;4924;;;-3854;-100,00%
13/01/2018 0:00;2018;enero;Fuera de España;Almería CAP;;;;3727;;;-4134;-100,00%
13/01/2018 0:00;2018;enero;Fuera de España;Almería REST;;;;6350;;;-6790;-100,00%
14/01/2018 0:00;2018;enero;Fuera de España;Córdoba REST;;;;1025;;;-1311;-100,00%
14/01/2018 0:00;2018;enero;Fuera de España;Jaén;;;;3272;;;-3152;-100,00%
14/01/2018 0:00;2018;enero;Fuera de España;Huelva;;;;5713;;;-3284;-100,00%
14/01/2018 0:00;2018;enero;Fuera de España;Cádiz CAP;;;;4924;;;-3854;-100,00%
14/01/2018 0:00;2018;enero;Fuera de España;Almería CAP;;;;3727;;;-4134;-100,00%
14/01/2018 0:00;2018;enero;Fuera de España;Almería REST;;;;6350;;;-6790;-100,00%
15/01/2018 0:00;2018;enero;Fuera de España;Córdoba REST;;;;1025;;;-1311;-100,00%
15/01/2018 0:00;2018;enero;Fuera de España;Jaén;;;;3272;;;-3152;-100,00%
15/01/2018 0:00;2018;enero;Fuera de España;Huelva;;;;5713;;;-3284;-100,00%
